Time,V_D,V_G_Target,I_D,I_G,Light_State,Servo_State
118.42492032051086,1.0,1.0,9.35686e-08,-8.19939e-07,1,0
118.96651315689087,1.0,1.0,9.06789e-08,-7.52805e-07,1,0
119.50802445411682,1.0,1.0,8.9457e-08,-7.60449e-07,1,0
120.04957675933838,1.0,1.0,8.76617e-08,-6.56582e-07,1,0
120.59116983413696,1.0,1.0,8.48627e-08,-5.58055e-07,1,0
121.13272190093994,1.0,1.0,8.35633e-08,-7.01608e-07,1,0
121.67427682876587,1.0,1.0,8.30066e-08,-7.70173e-07,1,0
122.2157838344574,1.0,1.0,8.02648e-08,-5.60764e-07,1,0
122.75735092163086,1.0,1.0,7.99346e-08,-7.17526e-07,1,0
123.2969024181366,1.0,0.0,-1.66893e-11,-6.52081e-07,1,0
123.83745098114014,1.0,0.0,-1.54972e-11,-7.71212e-07,1,0
124.37705302238464,1.0,0.0,-1.43051e-11,-7.46626e-07,1,0
124.91656613349915,1.0,0.0,-2.26498e-11,-7.1799e-07,1,0
125.45615005493164,1.0,0.0,-5.96046e-12,-7.56168e-07,1,0
125.99567985534668,1.0,0.0,-1.3113e-11,-6.05923e-07,1,0
126.53527998924255,1.0,0.0,8.34465e-12,-7.12243e-07,1,0
127.07483458518982,1.0,0.0,-5.96046e-12,-6.56434e-07,1,0
127.61443901062012,1.0,0.0,-1.90735e-11,-7.61393e-07,1,0
128.15397572517395,1.0,0.0,-1.78814e-11,-6.91739e-07,1,0
128.69556427001953,1.0,1.0,7.89082e-08,-5.0127e-07,1,0
129.23712396621704,1.0,1.0,7.79939e-08,-7.15402e-07,1,0
129.77879548072815,1.0,1.0,7.63524e-08,-7.32252e-07,1,1
130.32132959365845,1.0,1.0,9.41968e-08,-7.80759e-07,1,1
130.86299467086792,1.0,1.0,9.76992e-08,-6.27605e-07,1,1
131.40423107147217,1.0,1.0,1.00769e-07,-7.93484e-07,1,1
131.94593739509583,1.0,1.0,1.02819e-07,-7.51945e-07,1,1
132.48757076263428,1.0,1.0,1.04877e-07,-7.30577e-07,1,1
133.02908897399902,1.0,1.0,1.05848e-07,-5.96532e-07,1,0
133.57062649726868,1.0,1.0,1.0085e-07,-7.23345e-07,1,0
134.11226534843445,1.0,1.0,9.43935e-08,-6.88751e-07,1,0
134.6538426876068,1.0,1.0,9.26793e-08,-7.22327e-07,1,0
135.195481300354,1.0,1.0,8.96978e-08,-7.21538e-07,1,0
135.73707008361816,1.0,1.0,8.82518e-08,-7.72047e-07,1,0
136.2786886692047,1.0,1.0,8.77678e-08,-5.33221e-07,1,0
136.8202769756317,1.0,1.0,8.56149e-08,-7.67281e-07,1,0
137.36196875572205,1.0,1.0,8.47137e-08,-7.16921e-07,1,0
137.90355968475342,1.0,1.0,8.3847e-08,-7.29492e-07,1,0
138.44508028030396,1.0,1.0,8.39353e-08,-6.43885e-07,1,0
138.98666405677795,1.0,1.0,8.19886e-08,-8.52915e-07,1,0
139.52635717391968,1.0,0.0,-1.3113e-11,-7.73809e-07,1,0
140.0659728050232,1.0,0.0,7.15256e-12,-6.82903e-07,1,0
140.6057903766632,1.0,0.0,-7.15256e-12,-6.31702e-07,1,0
141.14540719985962,1.0,0.0,1.19209e-12,-6.51284e-07,1,0
141.68497705459595,1.0,0.0,3.57628e-12,-6.58301e-07,1,0
142.2245843410492,1.0,0.0,-8.34465e-12,-7.59642e-07,1,0
142.76418685913086,1.0,0.0,-2.38419e-12,-6.2115e-07,1,0
143.3037931919098,1.0,0.0,1.19209e-12,-6.91782e-07,1,0
143.84340715408325,1.0,0.0,8.34465e-12,-6.08766e-07,1,0
144.3830966949463,1.0,0.0,-2.6226e-11,-7.79564e-07,1,0
144.9247326850891,1.0,1.0,8.08942e-08,-6.54037e-07,1,0
145.46624898910522,1.0,1.0,8.02779e-08,-6.25044e-07,1,0
146.00830388069153,1.0,1.0,7.79986e-08,-7.6313e-07,1,1
146.54992270469666,1.0,1.0,9.37951e-08,-8.43661e-07,1,1
147.0914328098297,1.0,1.0,9.93764e-08,-6.22504e-07,1,1
147.63298511505127,1.0,1.0,1.01995e-07,-7.26986e-07,1,1
148.17465949058533,1.0,1.0,1.05255e-07,-6.66722e-07,1,1
148.71617937088013,1.0,1.0,1.07943e-07,-7.18403e-07,1,1
149.2578456401825,1.0,1.0,1.10701e-07,-8.97268e-07,1,0
149.79948139190674,1.0,1.0,1.03607e-07,-7.56893e-07,1,0
150.34103727340698,1.0,1.0,9.95791e-08,-6.50904e-07,1,0
150.8827259540558,1.0,1.0,9.51397e-08,-6.67662e-07,1,0
151.42423057556152,1.0,1.0,9.42779e-08,-6.73092e-07,1,0
151.9657232761383,1.0,1.0,9.14025e-08,-6.71775e-07,1,0
152.50727605819702,1.0,1.0,8.84056e-08,-7.45013e-07,1,0
153.04893279075623,1.0,1.0,8.6658e-08,-7.74848e-07,1,0
153.59054923057556,1.0,1.0,8.69739e-08,-6.10174e-07,1,0
154.13212776184082,1.0,1.0,8.564e-08,-6.24083e-07,1,0
154.67366337776184,1.0,1.0,8.39913e-08,-6.59257e-07,1,0
155.2152168750763,1.0,1.0,8.28135e-08,-6.51907e-07,1,0
155.75480723381042,1.0,0.0,-1.19209e-12,-6.76292e-07,0,0
156.2954351902008,1.0,0.0,-1.90735e-11,-6.92808e-07,0,0
156.83500981330872,1.0,0.0,-7.15256e-12,-6.71563e-07,0,0
157.3747842311859,1.0,0.0,3.57628e-12,-7.70782e-07,0,0
157.91437768936157,1.0,0.0,-9.53674e-12,-7.43123e-07,0,0
158.45501112937927,1.0,0.0,1.19209e-12,-6.97868e-07,0,0
158.99473190307617,1.0,0.0,-4.76837e-12,-6.35185e-07,0,0
159.5343623161316,1.0,0.0,-1.19209e-11,-6.49807e-07,0,0
160.07478165626526,1.0,0.0,-1.07288e-11,-7.34502e-07,0,0
160.61448693275452,1.0,0.0,4.76837e-12,-7.2316e-07,0,0
